0.0220	0.5001	-0.5001	0.8000
0.0329	0.6727	-0.6452	0.8770
0.0306	0.6728	-0.6451	0.8772
0.0343	0.6732	-0.6455	0.8779
0.0163	0.6713	-0.6441	0.8759
0.0137	0.6712	-0.6440	0.8757
0.0144	0.6712	-0.6440	0.8756
0.0610	0.6484	-0.6310	0.8225
0.0090	0.6653	-0.6422	0.9563
0.0186	0.6654	-0.6423	0.9566
0.0166	0.6652	-0.6421	0.9553
0.0197	0.6651	-0.6421	0.9545
0.0108	0.6650	-0.6419	0.9536
0.0916	0.5810	-0.6051	0.6422
0.0436	0.4625	-0.4156	0.9815
0.0292	0.4576	-0.4105	0.9720
0.0295	0.4574	-0.4103	0.9714
0.0445	0.4421	-0.3957	0.9607
0.0347	0.4418	-0.3951	0.9654
0.0522	0.4952	-0.4462	1.0716
0.0562	0.4942	-0.4457	1.2411
0.0472	0.5119	-0.4611	1.2862
0.0360	0.5409	-0.4864	1.3244
0.0363	0.5410	-0.4864	1.3246
0.0367	0.5409	-0.4864	1.3246
0.0368	0.5408	-0.4863	1.3241
0.0398	0.5352	-0.4818	1.3021
0.0431	0.5306	-0.4772	1.2700
0.0000	0.5226	-0.4700	1.2445
0.0127	0.5229	-0.4703	1.2470
