0.0180	0.6490	-0.1170	0.0000
0.0272	0.8000	-0.1540	0.5920
0.0339	0.8000	-0.2130	0.7670
0.0384	0.8000	-0.2550	0.8950
0.0416	0.8000	-0.3290	0.9780
0.0443	0.8000	-0.3620	1.0440
0.0457	0.8000	-0.3950	1.0920
0.0448	0.8000	-0.4110	1.1220
0.0464	0.8000	-0.4700	1.1470
0.0466	0.8000	-0.4970	1.1670
0.0463	0.8000	-0.5310	1.1790
0.0461	0.8000	-0.5520	1.1910
0.0461	0.8000	-0.5770	1.1970
0.0460	0.8000	-0.5960	1.2050
0.0458	0.8000	-0.6190	1.2100
0.0458	0.8000	-0.6470	1.2100
0.0454	0.8000	-0.6540	1.2140
0.0451	0.8000	-0.6570	1.2150
0.0443	0.8000	-0.6500	1.2170
0.0438	0.8000	-0.6490	1.2180
0.0446	0.8000	-0.6260	1.2160
0.0447	0.8000	-0.6220	1.2180
0.0447	0.8000	-0.6260	1.2190
0.0446	0.8000	-0.6320	1.2210
0.0445	0.8000	-0.6360	1.2230
0.0460	0.8000	-0.6870	1.2260
0.0456	0.8000	-0.6900	1.2300
0.0456	0.8000	-0.6960	1.2340
0.0457	0.8000	-0.7050	1.2380
0.0460	0.8000	-0.7400	1.2420
