0.0263	0.5001	-0.5001	0.8000
0.0387	0.6182	-0.5988	0.8553
0.0312	0.6677	-0.6296	0.9039
0.0361	0.6689	-0.6305	0.9056
0.0217	0.6672	-0.6292	0.9038
0.0257	0.6084	-0.5895	0.7422
0.0279	0.6087	-0.5898	0.7431
0.0354	0.6454	-0.6127	0.8422
0.0322	0.6451	-0.6124	0.8414
0.0298	0.6447	-0.6121	0.8405
0.0269	0.6444	-0.6118	0.8389
0.0156	0.6434	-0.6109	0.8332
0.0150	0.6434	-0.6108	0.8329
0.0165	0.6433	-0.6108	0.8325
0.0779	0.6384	-0.6045	0.7582
0.0290	0.6368	-0.6020	0.7562
0.0276	0.6367	-0.6019	0.7554
0.0248	0.6365	-0.6017	0.7547
0.0023	0.6356	-0.6008	0.7463
0.0415	0.6357	-0.6015	0.7396
0.0414	0.6357	-0.6015	0.7393
0.0409	0.6357	-0.6014	0.7394
0.0401	0.6357	-0.6014	0.7396
0.0387	0.6356	-0.6013	0.7393
0.0373	0.6355	-0.6012	0.7387
0.0358	0.6353	-0.6011	0.7376
0.0342	0.6352	-0.6009	0.7365
0.0320	0.6350	-0.6008	0.7345
0.0296	0.6349	-0.6006	0.7329
0.0269	0.6347	-0.6004	0.7316
